review_text;target
для кухни отлично;praise
Рабочий телевизор, без вай-фай, то что надо;praise
Телевизор понравился. Покупали на кухню. Все работает. Настроили быстро.;praise
Все просто замечательно. Коробка целая, все упаковано, все просто собирается и настраивается. Изображение отличное, рекомендую. Надеюсь на долгую продолжительную работу.;praise
упаковка по низу была мокрая, но сам телевизор в порядке. сняла одну звезду ща упаковку.;quality_complaint
Хороший телевизор. Пришло всё целое.👍;praise
Телевизором очень довольна, покупала для бабушки, быстро все прикрутила и настроила, очень легкий;praise
Телевизор очень хороший,тем более за такую цену. Звук хороший,настроили быстро,каналы поймал сразу. Качество картинки не плохое. В управлении прост. Повесили на кухню.;praise
Взял для кухни, до этого там висел шириной 90 см, очень не удобно занимал много места, этот телевизор вписался идеально, немного не привычно что экран маленький, но это временно, изображение очень хорошее для лед.;praise
рекомендую;praise
Доставка во время, качество телевизора для кухни устраивает. Обычный телевизор, за такую цену просто отлично. Буду надеяться что прослужит долго.;praise
простой, работает стабильно, звук суховат, но лучше чем у декспа.;quality_complaint
доставка быстрая упаковка целая подключ к сети работает но пока каналы не настраивал позже отзыв дополню;praise
пока работает;praise
телевизор классный за такие деньги.;praise
Очень рад Спасибо за телевизор.;praise
все хорошо,ящик как ящик свою функцию выполняет,прием сигнала цифры хороший даже с метровым проводом в квартире,без нареканий,претензий нет🫡👍;praise
Среднее впечатление;other
Работает хорошо, доставка быстрая;praise
через неделю вышел из строя ИК-приëмник;quality_complaint
все шикарно, даже очень;praise
телевизор показывает хорошо.я довольна спасибо продавцу.;praise
товар пришел сломанный пришлось оформить возврат;quality_complaint
Отличный телевизор работает от комнатной антенны.;praise
Все работает;praise
телевизор хороший,звук, цвета насыщенные,но нет вай фая, хотела оформить возврат чтобы перезаказать другую модель НЕ одобрили,пришлось подключить приставку,так что будьте внимательны читайте описание товара,кому вай фай не нужен рекомендую, всё хорошо упаковано,все детали на месте,заказывайте. Не думала конечно что до сих пор что есть телевизоры без...;quality_complaint
товар телевизор пока понравился,но как дальше покажет время,а пока все устраивает.рекомендую к покупке.;praise
Цена завышена,на телевизор,с данным функционалом;quality_complaint
пришло все вовремя ,работает и надеюсь на долго так и будет, звук отличный, цвета на каналах супер,но минус есть не большой и это поправимое дело где кронштейн крепиться верхние гнезда из этих 4 шт плохая резьба что не подошёл ихней кронштейн который шел в комплекте,но и такой покупной из-за резьбы но потихоньку это решили дело;praise
показывает жорошо упакована отлично;quality_complaint
За эти деньги - шикарный телевизор!!! звук вполне приличный, не пищит а воспроизводит отчётливо. Изображение тоже не подкачало!!! Покупал в подарок - получатели остались ОЧЕНЬ довольны!!!;praise
Отличный телевизор! За свои деньги просто супер. DVB T2 приёмник, уверенно ловит 20 каналов, от уличной антенны.;praise
"Для кухни или дачи пойдет за эти деньги.
НО!!! Имейте в виду, никакой это ни IPS!!!
Голимый TN с углом обзора градусов 90 максимум. 2 звезды только за цену.";praise
Хотели вернуть товар т.к не подошел по функциям, пришел отказ.;quality_complaint
Всё хорошо;praise
легко настраивается, неплохой звук .;praise
телик как телик в небольшую комнату самое то;praise
Отличный телевизор, полностью соответствует заявленным характеристикам. И цена очень привлекательная.;praise
Хороший телевизор для бабушки, без всяких ОС, смартов и других глупостей. Включил - показывает ТВ. Бабушке понравился, все видно, и звук неплохой - два динамика.;praise
хороший телевизор, соотношение цена, качество.;praise
Отличный телевизор!!!;praise
за свою цену нормально;praise
отличный телевизор. купила маме на дачу;praise
Отлично!;praise
Доставка быстрая хорошая на телевизор пока что не могу проверить как работает жду когда приедет антенна;quality_complaint
С виду товар нормальный,но приехал с браком,увидел уже дома когда вскрыл коробку,коробка целая без повреждений,все защитные пленки на месте,явно заводской брак,так что проверяйте сразу в пвз,оформил возврат.;quality_complaint
недорогой и удобный телевизор. Для дачи очень хорош. Показывает лучше чем на старом.;praise
Очень долго выбирала телевизор по ,,карману,,, прочла много отзывов, комментарий,вопросов и остановилась на этой модели производства Беларусь. Телевизор был упакован отлично,в ПВЗ проверила целостность и включила в сеть. Дома самостоятельно распаковала,собрала,подключила и настроила каналы. Изображение,четкость,яркость,контрастность,звук - очень понравились...;praise
Телевизор хороший. Думаю взять ещё один, меньшего диаметра.;praise
Отличный телевизор, стоит своих денег;praise
пойдёт на кухню;praise
хорошо упаковано всё хорошо спасибо;praise
не соответствует описанию и заявленным характеристикам, звук отвратительный, изображение тоже,;quality_complaint
товар отличный,продавца рекомендую;praise
Довольны новым приобретением!;praise
за такую цену норм,бабуле взял.пришёл цел и невредим .там сразу встроена т2,никаких приставок отдельно не надо;praise
нет блока DVD-T2 хотя в теххарактеристиках был.;quality_complaint
упаковка целая доставили быстро;praise
пришел очень хорошо упакован, проверили в пункте на работоспособность. На даче подключили к антенне и настроили каналы! Всё работает, цвет, звук - хорошо! Посмотрим при дальнейшей эксплуатации;praise
Нужен доя кухни. Превзошёл даже все ожидания. Очень нам подошёл. Ну, а качество работы его покажет время.;praise
всё супер 👍 хороший товар рекомендую;praise
Хороший телевизор за такую цену. Поставили в детскую, их все устраивает)));praise
товар пришёл 1 час назад и не включается !(;quality_complaint
хороший телевизор;praise
за такие деньги огонь,правда чуток притормаживает;quality_complaint
берем второй на дачу очень-очень довольны покупкой рекомендую 👍;praise
Хороший телевизор за такую цену. Поставили в детскую, их все устраивает)));praise
всё супер 👍 хороший товар рекомендую;praise
Отличный телевизор для дачи!;praise
Очень долго выбирала телевизор по ,,карману,,, прочла много отзывов, комментарий,вопросов и остановилась на этой модели производства Беларусь. Телевизор был упакован отлично,в ПВЗ проверила целостность и включила в сеть. Дома самостоятельно распаковала,собрала,подключила и настроила каналы. Изображение,четкость,яркость,контрастность,звук - очень понравились...;praise
В общем я полностью удовлетворен , ПК соответствует всем моим требованиям)) к покупке рекомендую не пожалеете ));praise
"Системник пришёл в заявленнвй срок целым(курьером), но не совсем в указанной конфигурации:
1) оперативка вместо Lancer пришла похожая по характеристикам g.Skill, но без rgb подсветки
2) видеокарта вместо MSI пришла Palit infinity 3, которая сейчас дешевле на 6к.
Понял почему такое название - комп тихо работать вообще не умеет, все время гудит вентиляторами...";quality_complaint
Товар, конечно, очень порадовал! Упаковка очень надёжная, плотно упакован системный блок, с трудом вытащили из коробки. Продавец быстро отвечает на вопросы и контролирует доставку курьером. Рекомендую продавца однозначно👍 Только жаль, что у него продаже только системные блоки... Начисленные баллы на что тратить?!;praise
"Заказ был оформлен через Ozon, по итогу пришёл на 2 дня позже.
Упакован системный блок хорошо - все доехало в целости. Достал из коробки, включил - все работает!
Супер!";quality_complaint
Товар пришел, в целостности, есть некоторые претензии к менеджменту кабелей под нижним вентилятором пришлось самому утрамбовывать, т.к винты цепляли провод, ну и шумные очень нижние вентиляторы иногда приходится отключать вообще, в целом блок хороший не греется , стабильно работает, в целом покупкой доволен!;quality_complaint
Все ок, так-же отдельная благодарность тех. Поддержке оперативно, быстро помогут.;praise
"Пришёл с опозданием, хорошо упакован. Всё целое, ничего не повредилось. Поддержка всегда на связи, отвечает на любые вопросы)
Дочь довольна.";quality_complaint
"Отличный ПК, полностью соответствует своим характеристикам.
Работает стабильно (ни разу не завис и не перезагрузился , собранная система сбалансированная.
Сервис магазина работает, при необходимости оперативно ремонтируют (мне заменили блок питания), без волокиты и претензий.";praise
Довольно мощный, производительный компьютер, закрывает требования большинства современных игр, уже успел протестить парочку, нареканий нет. Корпус компактный, разъёмов предостаточно. Пришел раньше обозначенного срока. Минусов не видел, получил то, что хотел. Супер! Спасибо!;praise
доволен на все 100 %;praise
Отличный пк, красивый, производительный, не сильно шумит, проблем с производительностью не было. Приехал в надежной упаковке. Брала на подарок парню, ему все понравилось.;praise
Компьютер действительно игровой, собран добротно, с мощной видеокартой, запаса производительности хватит на несколько лет, все работает отлично, игры тянет все, видео,звук на высоте, загружается быстро, ничего не виснет и не лагает, все нужные драйвера были установлены продавцом сразу вместе с windows 10 проф, За 3,5 мес использования никаких проблем...;praise
отлично, все понравилось;praise
товар очень качественный,к сожелению фото и видео предоставить не можем покупали на подарок сыну)) он в восторге)) Советую к покупке))обязательно дополню отзыв когда поедем в гости;praise
Отличная цена,все комплектующие соответствуют описанию.Доставка СДЭК,без повреждений.Присутствует гарантийный талон на 36 месяцев.Поддержка на связи,помогла с настройками,т к по началу вылетали игры.Теперь всё ок.Рекомендую продавца.;praise
Взял на замену (макбука 2019г, который брал за 200к). Этот комп в разы производительнее, не могу теперь работать за ноутами после такой машины;praise
Компьютер очень понравился, надеюсь хватит не на один год )));praise
компьютер приехал всё отлично работает);praise
Получил комп в целостности и сохранности! Доволен как слон!) ПК собран качественно,с душой так сказать! Работает тихо,даже подозрительно тихо))) Мощный,тихий,одним словом-пУшка!)) Спасибо xDOT за работу и хорошую техподдержку!;praise
Пришло всё нормально, упаковка целая, подключил все работает;praise
Хороший компьютер советую подходит для всех игр на высоких на данный год, комплектующие соответствуют;praise
Пришёл в назначеный срок. Включили, всё работает. Прибыл так как есть без какой либо дополнительной защиты т. е. пупырки, паролон и т.п. Из документов : гарантийник на обслуживание, паспорт на материнку.....Всё.;quality_complaint
Отличный ПК!!! Доставили вовремя, распаковал, подключил и все!!! Протестировал в нескольких онлайн играх, всё отлично!!!! Более 200 фпс!!!! Огромное спасибо продавцу!!!!!;praise
Компьютер великолепен. Без нареканий. Железо — огонь. Для тех, кто не хочет заниматься сборкой самостоятельно — шикарный вариант. Были вопросы по подключению (сам тупил), но поддержка терпеливо ответила на мои вопросы :) Всячески рекомендую!;praise
вроде хороший, правда по описанию материнка немного другая, а винду удобнее переустановить, но если не принципиально, то хороший выбор + есть гарантия и чат поддержки в телеге быстро помогает;quality_complaint
Добрый день! Компьютер пришел хорошо упакован. При транспортировке ничего не побито, ничего не отходит. Работает тихо, железо которое заявлено, стоит без обмана. Тесты в серфинге в интернете и играх прошел на ура. Спасибо продавцу за качественный товар!;praise
Отличный пк, все новое и соответствует описанию, запустился без проблем, все тесты прошел. Продавец молодец, всегда на связи, захотел поменять башню на помпу, поменяли без проблем. Покупкой и магазином доволен, рекомендую.;praise
Продавец всегда на связи, компьютер приехал в целостности и сохранности, вместе с заполненным гарантийным талоном и коробками от каждой комплектующей. Вся внутрянка соответствует заявленной в карточке товара :);praise
"Хочу выразить огромную благодарность продавцу, учёл все мои пожелания, качественно упаковал товар, приложил все коробки, собрал в том корпусе, который я выбрала,дополнил память (ssd), ответил на все вопросы. Продавца советую.
Касательно устройства, тут и говорить нечего, за эти деньги системник огнище 🔥
_____________
UPD: пользуюсь уже более полу года...";praise
Отличная сборка! Все комплектующие приехали согласно карточке товара. Киберпанк и старфилд в 2к с rt+fg держат на уровне 70-90 ФПС. Работает тихо. Подсветка корпуса регулируется, можно и вовсе отключить. Температура видеокарты в максимальной нагрузке 75°, процессора до 60°. Доставили вовремя, продавец на связи. Рекомендую к покупке!;praise
Отличная техника,тихий,быстро грузит все что надо,даже такой чайник как я разобралась быстро. Очень довольны с супругом. Продавец Сергей-очень помог. Рассказал,объяснил,проверил,сотрудник на 5+!!!!! Спасибо!;praise
дочери понравился.хорошая сборка;praise
Мощный, современный, тихий красавчик;praise
первый раз брал системный блок, не прогадал, всё работает сразу после вскрытия коробки, радует, что бережно упаковали, всё чисто, стерильно, очень красиво и аккуратно. хотел бы отдельно отметить техподдержку магазина, быстрая и слаженная работа, всё на простом языке. рекомендую, очень хороший продавец и сборка!;praise
"Качество
Цена
Внешний вид";praise
Все устраивает, комплектация которую заказывали. Всё целое;praise
Вроде бы сапер и тетрис не лагает;praise
Цена брал за 92;quality_complaint
Мощный;praise
Все устраивает кроме процессора;quality_complaint
Хорошая сборка, цена, красиво смотрится за столом, гарантия 1 год, предустановленный Windows.;praise
Компактный размер относительно других производителей;praise
"Цена
Быстрая доставка (раньше на 1 день)
Товар соответствует описанию";praise
классный комп, ребенок просто в восторге.;praise
Очень рады покупке, пришел вовремя, отлично упакован, никаких повреждений небыло обнаружено, в работе не первый месяц, шустрый, компактный, практически безшумный, все довольны, рекомендуем, спасибо продавцу, и Озон!;praise
цена-производительность;praise
"Из упаковки готов к работе.
Самое низкое предложение на рынке
Тех.поддержка быстро отвечает на вопросы
Год гарантии от магазина
Классная rgb подсветка с возможностью выключения";praise
тихий, соответствует описанию;praise
Заказ приехал быстро, упаковано было очень хорошо, В дополнительной настройке и установке чего-то либо не было необходимости, все уже было предустановленно, за что отдельное спасибо, Сборка выглядит красиво и аккуратно. Большое спасибо продавцу!;praise
Системник бомба!!!;praise
"1.Защита пк перед отправкой(защитили видеокарту,все в пупырке,ни одной царапины)
2.Подключив пк,был приятно удивлён,windows 10 и все необходимые драйверы для игр были установлены.
3.Система запускается за 3 секунды,что даже непривычно...
4.Отличный компьютер для современных игр,Elden Ring на ультра настройках выглядит словно настоящий 😅
5.Компьютер...";praise
Отличный дизайн;praise
При заказе, была другая конфигурация по этой ссылке: i5 10го поколения, rtx 3050, SSD на 1тг;quality_complaint
прекрасно работает, нареканий нет. пришел своевременно. сбои не наблюдаются. Абсолютно бесшумный, но не греется (проверено в Doom Eternal и God of war: Ragnarok на ультрах);praise
пришел на два дня раньше. и это очень порадовало. надежно упакован. все в целости и сохранности. покупала сыну подростку для игр и монтажа видео. сын счастлив. оригинальный корпус, достойная начинка. установленнная Windows 10. Оперативная консультация продавца, т.к. монитор остался старым и не хотел подключаться. спасибо продавцу, быстро и толково объснили...;praise
очень хорошый мощьный;praise
внешний вид, съемная стеклянная панель, заявленные характеристики соответствуют полностью, возможность дальнейшего апгрейда, предустановленное п/о, весьма шустрый.;praise
хороший пк за свою цену, тянет все современные игры без лагов, быстрый;praise
всё чудненько!;praise
работает быстро, ну это естественно, потому что он новый;praise
Мощный;praise
Отличный системный блок, качественная сборка, превосходный дизайн!;praise
купил Системный блок всë рооверил на пункт выдачи всë действительно всë есть запчясти;praise
Быстрый, мощный, красивый и эстетичный системный блок;praise
Очень красивый, мощный, шустрый;praise
быстрый , тихий и красивый;praise
ПК пришел целый, набор документов, все ок, я довольна. Просьбу мою о разделение диска выполнили, очень круто, спасибо. Общение с продавцом на 10 из 10, но после тогг, как получила пк, не могу написать в чат. Почему, не понятно. Если видете это сооющенте, ответьте пожалуйста.;praise
Компьютер шустрый.Долго выбирал- за такую цену ничего похожего нет.;praise
Прекрасный системный блок в сборке, винда установлена, можно прямо из коробки достать и сразу использовать. Внешний вид вызывает эффект вау- вентиляцию спереди можно отключить по кнопке, тогда совсем беззвучно работает, с ней шумит, но в пределах разумного - не бесит) будем наблюдать в работе. Документы на все комплектующие в коробке были вложены, спасибо...;praise
Зборка супер 👍;praise
"Материнская плата gigabyte b650m d3hp ax
Процессор Ryzen 5 7600x
Видеокарта Saphire RX7800 XT 16GB
Оперативная память DDR5 32gb patriot 5600 mhz 
Блок питания Deepcool pf700d-ha
SSD m.2 nvme Adata legend 2TB
Корпус Chieftec Hunter
Охлаждение Montech D24 metal

Перед покупкой магазин подробно ответил на все вопросы. Системник был хорошо упакован внутри...";praise
"Компьютер стоит своих денег
Комплектующие Ryzen 5 7600x
msi b650m-b
Patriot signature premium 32gb ddr5
Apacer as2280q4l 1tb
1st player dk premium 600
xastra a406
palit rtx 4060";praise
доставили в указанные сроки, упаковка целая, системный блок полностью соответствует описанию, подключили монитор, роутер и всё сразу работает без дополнительной настройки, пока всем довольны, рекомендую к покупке, кстати белый цвет его совсем не портит и смотрится отлично (до этого были только чёрные);praise
Хороший ПК, все соответствует описанию 👍;praise
Все пришло быстро и качественно, спасибо вам за работу;praise
Все работает как надо. Нареканий нет.;praise
отлично;praise
Системник пришел отлично упакованным. Все хорошо запустилась!;praise
"Хороший, сбалансированный, производительный компьютер.

Компоненты от нормальных производителей, не самые дешёвые. Я так понимаю, что производители меняются в зависимости от наличия на складе, но что пришло мне - нормально. Сборка аккуратная. Упаковано надёжно. 

Из минусов: 
- Большой и шумный, что и понятно при таком охлаждении. Несмотря на приятный...";praise
"Внутрянка соответствует описанию, распаковал, включил и играй. Тесты все прошёл, производительность соответствует ожиданиям. В общем и целом сам пк на 5/5
Но есть вопросы к:
-ДОСТАВКЕ (почему то задержали заказ на передаче в доставку в районе 3 дней, соответственно с заявленой датой получения не совпадает)? 
-ОПИСАНИЮ ТОВАРА (прописано что идёт wifi...";quality_complaint
"Корпус аквариум, конечно на любителя, светилки в наличии.
Комплектующие достойные, отдельно в днс брать сильно дороже, ограничений в играх, а для них и брался не выявлено, фпс комфортный.
Вначале мониторил температуру процессора, видеокарты, сейчас перестал, в играх где-то на дне, выше 60С ниразу не было.
До этого водянки не было, на системнике сверху...";praise
ок, сын использует не жалуется;praise
"Лучший выбор, который я мог сделать 
Все пришло идеально упаковано, привезли еще на 3 дня раньше
Работает отлично, все заранее установлено, все комплектующие совпадают, все приложения для проверок скачаны 
Ни разу не пожалел)";praise
Товар просто топ! Отличное качество, графика на высшем уровне,системник по размеру меньше моего прошлого и кажется даже меньше шумит,а это большой плюс! Единственный минус, что USB порты находятся не очень удобно, но это мелочи.;praise
соответствует спецификации, пришел с надписями упаковано под камерой с гарантийным талоном на год.;praise
Компьютер хороший, а на вопрос надежности однозначно не ответишь у меня первый Китайский компьютер работает 8 лет;praise
"Выглядит отлично, не зря выбрал белый корпус.
Упаковано отлично и очень надежно.
Работает хорошо, тихо, заявленным характеристикам соответствует.
Докупил еще один SSD и провод питания подлиннее.

Доставка заняла на 5 дней больше заявленного.

Не хватает сетевой карты с Wi-Fi и Bluetooth, но это не сложно купить и самому, потом. Интернет пока по проводу...";quality_complaint
превосходный компьютер,практически бесшумный,просто летает. Пришел с заявленными компонентами,отлично упакованный.;praise
товар великалепного качества, есть вопросы в другом... но сам товар просто бомба... доставлен вовремя и целым...;praise
Хорошая сборка и отличный системный блок) можно вентиляторы более тихие поставить, а в целом все хорошо! Рекомендую продавца.;praise
Доставка задержалась на несколько дней, но в целом все летает. Закажу в следующий раз у этого продавца;praise
Спасибо ребятам за сборку, пришло всё вовремя, всё красиво аккуратненько сделано, запустил - всё летает, компом очень доволен ❤️❤️;praise
Запакован был нормально, но обнаружил помятости на радиаторе который охлаждает процессор. Написал продавцу продавец сказал, что это возможно помяли пупырчатой пленкой. Бред там стенки довольно толстые, чтобы помять так это прям умудриться надо. Обнаружил, что процессор стоит не тот который был заявлен то есть вместо 7700x поставили 7700 и мне не сообщили...;quality_complaint
среднее. самые дешёвые комплектующие, хотя цена общая достаточно не дешёвая. за эти деньги можно было бы и получше поставить комплектующие, как-то материнку и память. более емкий накопитель. вообщем - слега разочарован.;quality_complaint
"Доставку откладывали 3 раза, исписал все чаты, но всё-таки приехал через 9 дней, вместо двух. Пришёл с другим процессором , я в шоке. Предложили компенсацию 3 тысячи, хотя разница 10 тысяч у процессоров. Пришлось согласиться. Крайне не доволен.
В целом комп работает шустро и тихо, тянет все игры, не греется на процессоре Ryzen 7 7700. Пока всё хорошо...";quality_complaint
В целом хорошо, но сначала не хотел нормально работать, включался, но не реагировал на монитор и клавиатуру. Это было неприятно хоть проблему и решил. А так хорошо, плюс три пачки бумаги.;quality_complaint
.;other
супер, мне нравится все, родители уже дерутся за них 🤣, так как им тоже понравилось, заряд держат очень долго, давно таких наушников не было, все очень нравится;praise
Хорошие, рекомендую 👌;praise
очень быстрая доставка,всё в целости и сохранности,пришли заряженные 70% ,быстро подключились,есть регулировка громкости хороший звук внучке понравилось;praise
"красивые наушники, если не считать того факта,что людям вокруг будет слышно все, что внутри проигрывается(если на сильно высокой громкости)
а так я довольна, буду пользоваться";quality_complaint
норм;praise
Наушники просто огонь, целый день ношу вообще не садятся посмотрим как будут показывать себя дальше;praise
За такую цену очень хорошие наушники, конектятся нормально, работают нормально, пока не заметил проблем;praise
Хорошие , работают , за свою цену топ;praise
Наушники пришли быстро, но в коробке облитой краской и мятой и видно что клеены переклеены. С наушниками пока не разобралась, поставила на зарядку, ни как не реагируют. Позже добавлю отзыв.;quality_complaint
наушники отличные хорошо отыгрывают бас и всего 2 функциональные кнопки;praise
выдержывают более двух суток беспрерывной работы, за свою цену звук хороший, но если слушать слишком громко, окружающие будут слышать вашу музыку🤫☆;praise
Коробка мятая, наушники вроде целые. Посмотрим сколько протянут.;quality_complaint
"звезду снял за дешевый пластик , сделайте крепление наушников получше и будет отлично! и длину наушников побольше(палочки которые вытягиваются)
а так в целом все остальное удобно,звук хороший 
п.с : пришлось самостоятельно докрутить на креплении пластик";quality_complaint
Наушники работают. Но дума будут громче играть.;quality_complaint
Стоит 1096 рублей. Хорошие наушники, но у меня голова начинает от них болеть, если долго слушать. Звук нормальный. Есть слот для карты микро sd;quality_complaint
все отлично;praise
Жене понравились;praise
купил дочери,она в восторге;praise
отличный просто супер пупер;praise
Хорошие наушники, долго держат заряд, быстро заряжаются, звук хороший для простого пользования (не эксперт, не разбираюсь) ребенку нравятся - это главное.;praise
За эту цену думаю лучше не найдете. Есть один минус, звук через аукс полное дерьмо, в остальном за свою цену отлично;quality_complaint
Одни из лучших наушников в этом ценовом сигменте;praise
Ну топ за свои деньги;praise
отличные наушники. подключил к компу и отлично. но есть маленький минус. в игре ты не узнаешь с какой стороны подходит враг.;quality_complaint
звук хороший;praise
👍👍;praise
Офигенные, дочка в восторге;praise
Всё работает. Хорошо;quality_complaint
все хорошо, для игор не подойдет 3д звук хромает и ушам более часа больно;praise
👍 крутые 👍;praise
Очень хорошие наушники за свою очень низкую цену! Очень доволен и всем рекомендую!);praise
"наушники 🎧 🔥
работают 👍
доволен 😃";praise
Обычные наушники, задержки почти нет;praise
чёткая, базару нет;quality_complaint
Наушники хорошие, но сломались не проработав даже год. Треснул пластик. При снятии с головы, не прибегая к сильному нажатию они треснули.;praise
супер;praise
Детям зашли;praise
пришло вовремя. всё работает отлично.;praise
играют хорошо мопед неслышно вообще;praise
классные 👍, берём уже вторые. Всем спасибо!!!!;praise
все работает ребенок доволен;praise
"классные наушники!!
качество хорошее.
но, одно но если ставить громко звук, то окружающим тебя людям его слышно, хотя может это и плюс.....🤷♂️🥲🥱🤔
посмотрим сколько наушники прослужат, если что дополню отзыв .";quality_complaint
